agent,seed,temperature,sigma,prevalence,morisita,recall,det_per_joule,precision,false_alarms,time_to_first_detection,coverage,episode_ece,kind
Lawnmower,4,3.0,1.6,0.1527777777777778,2.0086580086580086,0.1340909090909091,0.01562500000000003,0.64375,1.5,24.95,0.7847222222222221,0.17492142957584897,cal
GreedyEntropy,0,3.0,1.6,0.0763888888888889,4.072727272727272,0.1409090909090909,0.008212051699306881,0.043137031294926034,32.85,80.6,0.25625,0.17582383697271176,cal
GreedyEntropy,1,3.0,1.6,0.2361111111111111,1.7397504456327986,0.27941176470588236,0.050299513940781373,0.24635155001608253,27.8,1.6,0.2753472222222222,0.18158307054187955,cal
GreedyEntropy,2,3.0,1.6,0.1597222222222222,1.3280632411067195,0.34347826086956523,0.041786085358367545,0.215681087349044,28.65,14.05,0.27118055555555554,0.17827252337309762,cal
GreedyEntropy,3,3.0,1.6,0.2152777777777778,1.3419354838709678,0.30322580645161284,0.04971695341450848,0.2449982878850016,28.65,1.5,0.27708333333333335,0.17467742308947226,cal
GreedyEntropy,4,3.0,1.6,0.1527777777777778,2.0086580086580086,0.3227272727272727,0.037544458658301895,0.19033972009591205,29.5,8.2,0.2732638888888889,0.1742690734086319,cal
REINFORCE,0,3.0,1.6,0.0763888888888889,4.072727272727272,0.6,0.03491551365363901,0.21906631761204745,23.65,12.5,0.40069444444444446,0.1710127312114737,cal
REINFORCE,2,3.0,1.6,0.1597222222222222,1.3280632411067195,0.15217391304347824,0.018495346014756782,0.6079761904761904,2.3,8.25,0.096875,0.17303443984205902,cal
REINFORCE,1,3.0,1.6,0.2361111111111111,1.7397504456327986,0.11911764705882352,0.021448025392067534,0.44375,5.0,1.45,0.06284722222222222,0.17804496352905258,cal
REINFORCE,3,3.0,1.6,0.2152777777777778,1.3419354838709678,0.07419354838709676,0.01216256453129932,0.6899999999999998,1.0,5.3,0.0625,0.1753495351606566,cal
Random,0,4.0,1.6,0.0763888888888889,4.072727272727272,0.19545454545454546,0.011371693503177443,0.10235448304555857,19.45,62.45,0.34965277777777776,0.20953696153281207,cal
REINFORCE,4,3.0,1.6,0.1527777777777778,2.0086580086580086,0.031818181818181815,0.00369841352121519,0.19666666666666668,2.0,52.9,0.05555555555555556,0.17665207833819532,cal
Random,1,4.0,1.6,0.2361111111111111,1.7397504456327986,0.2588235294117647,0.046607538386921096,0.36745340529036186,15.35,6.35,0.353125,0.2004883495772623,cal
Random,2,4.0,1.6,0.1597222222222222,1.3280632411067195,0.20652173913043476,0.025147975787771316,0.22686430723272827,16.25,26.05,0.3527777777777778,0.21746605652874162,cal
